typecours,libellecours,nbetudiantsmax
CM,Cours Magistral,210
TD,Travaux Dirigés,72
TP,Travaux Pratiques,36
EC,Evaluation des connaissances,210
SFE,Stage de Fin d'Etudes,
PFE,Projet de Fin d'Etudes,
