codefiliere,libellefiliere,dateaccreditation,dureeaccreditation,codedeptattache,codecoordonnateur
GI,Génie Informatique,9/1/2014,6,GI,EnsGI004
LPGLAASRI,Licence Prefessionnelle En Génie Logiciel et Administration des Systèmes et Réseaux Informatiques,9/1/2014,6,GI,EnsGI006
