numsession,libellesession
1,Session Avant Rattrapage
2,Session Après Rattrapage
3,Session Avant Rattrapage redoublant ou admis par dérogation
4,Session Après Rattrapage redoublant ou admis par dérogation
5,Session Avant Rattrapage admis par dérogation redoublant
6,Session Après Rattrapage admis par dérogation redoublant
