codedept,libelledept,datecreation,coderesponsable
GE,Génie Electrique,9/1/1986,EnsGE020
GM,Génie Mécanique,9/1/1986,EnsGM045
GP,Génie des Procédés,9/1/1986,EnsGP070
TM,Techniques de Management,1/1/2002,EnsGP100
GI,Génie Informatique,9/1/2007,EnsTM008
